epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.258,1.87437,4.14579,2.64374,1.6748,0.28868,0.12527,0.10236,0.04389,0.09115,0.13187,0.05631,0.01911,1.83307,3.70176,3.69874,1.66359,0.000657658,0.000657658,0.000657658
2,31.5036,1.7403,3.64955,2.214,1.58874,0.29552,0.38022,0.23888,0.09428,0.25761,0.32308,0.18517,0.05735,1.92301,4.24812,3.41952,1.81655,0.00132418,0.00132418,0.00132418
3,46.1791,1.90077,3.8403,2.16069,1.67567,0.23166,0.28571,0.18696,0.08244,0.22851,0.21978,0.14657,0.0522,1.92315,3.80311,3.18602,1.77133,0.00199013,0.00199013,0.00199013
4,62.5238,1.87028,3.75762,2.18779,1.70107,0.28814,0.32471,0.22039,0.10265,0.24524,0.27636,0.17238,0.05863,1.89342,3.67283,2.22639,1.78109,0.00199805,0.00199805,0.00199805
5,80.3668,1.78234,3.5501,2.16307,1.62348,0.33494,0.31429,0.2236,0.0978,0.29725,0.28352,0.17642,0.06505,1.83749,3.49501,2.15433,1.72621,0.00199653,0.00199653,0.00199653
6,94.9725,1.78783,3.58293,2.08884,1.63135,0.29688,0.23736,0.18083,0.07726,0.23367,0.20909,0.1372,0.04737,1.95573,3.6697,2.34997,1.75985,0.00199458,0.00199458,0.00199458
7,109.353,1.84494,3.66109,2.14469,1.6767,0.26381,0.3481,0.23059,0.11177,0.22731,0.31868,0.16997,0.06815,1.76686,3.51015,2.24733,1.62498,0.00199219,0.00199219,0.00199219
8,123.716,1.77336,3.55378,2.00127,1.60856,0.32958,0.39121,0.2893,0.12826,0.28444,0.33187,0.21662,0.08237,1.84229,3.535,2.19307,1.67416,0.00198938,0.00198938,0.00198938
9,138.092,1.77189,3.67494,2.06367,1.58411,0.34246,0.33846,0.28835,0.14358,0.29606,0.3011,0.22521,0.09263,1.67818,3.36525,1.9683,1.52956,0.00198614,0.00198614,0.00198614
10,157.071,1.74105,3.62814,2.04129,1.59443,0.41999,0.36703,0.32139,0.16443,0.3737,0.32527,0.2589,0.10199,1.68302,3.5113,1.9534,1.56966,0.00198246,0.00198246,0.00198246
